job_id,title,company,company_type,location,work_mode,date_posted,salary_listed,salary_k,description,skills_raw,skill_count
JOB02470,Data Analyst,Oracle,tech,"Mountain View, CA",Remote,2025-09-17,$74K,74,"As a Data Analyst at Oracle, you will analyze large datasets using Tableau and Excel. You'll build dashboards in Azure and work closely with cross-functional teams. Must be comfortable with Salesforce CRM, Data Visualization, and have experience in AI Governance. A background in Excel or similar analytical tools is beneficial.",Tableau|Excel|Azure|Salesforce CRM|Data Visualization|Statistics|Communication,7
JOB01082,Data Scientist,Splunk,tech,"Sunnyvale, CA",Remote,2025-09-17,,110,"We are seeking a Data Scientist to join our Operations team in Sunnyvale, CA. The ideal candidate will leverage Python and Agile / Scrum to deliver actionable insights. Responsibilities include designing Communication pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with SQL is a strong plus. Knowledge of Excel and modern Communication tools preferred. Familiarity with Azure and ability to communicate complex data clearly is essential.",Python|Agile / Scrum|Communication,3
JOB01706,Data Analyst,KPMG,consulting,"San Francisco, CA",Hybrid,2025-09-17,$69K,69,"As a Data Analyst at KPMG, you will analyze large datasets using SQL and Tableau. You'll build dashboards in Power BI and work closely with cross-functional teams. Must be comfortable with Excel, Google Cloud, and have experience in Prompt Engineering. A background in Azure or similar analytical tools is beneficial.",SQL|Tableau|Power BI|Excel|Google Cloud|Agile / Scrum|Data Visualization|Communication,8
JOB02673,AI/ML Analyst,PwC,consulting,"Redwood City, CA",Hybrid,2025-09-17,$94K,94,"We are seeking a AI/ML Analyst to join our Operations team in Redwood City, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Power BI is a strong plus. Knowledge of Agile / Scrum and modern LLM / GenAI tools preferred. Familiarity with Azure and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Power BI|Agile / Scrum|Data Visualization,6
JOB00959,Data Analyst,Meta,tech,"Santa Clara, CA",Remote,2025-09-17,,94,"Join Meta's data team as a Data Analyst. You will use Python, Power BI, and Excel to extract insights from complex datasets. This role requires strong Machine Learning skills and familiarity with AWS. Bonus: experience with Communication and Machine Learning.",Python|Power BI|Excel|Machine Learning|AWS|Snowflake|Agile / Scrum|Data Visualization|Communication,9
JOB03313,Business Analyst,Accenture,consulting,"Mountain View, CA",Hybrid,2025-09-17,$75K,75,"We are seeking a Business Analyst to join our Strategy team in Mountain View, CA. The ideal candidate will leverage SQL and Tableau to deliver actionable insights. Responsibilities include designing Power BI pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Excel is a strong plus. Knowledge of Machine Learning and modern SQL tools preferred. Familiarity with Communication and ability to communicate complex data clearly is essential.",SQL|Tableau|Power BI|Excel|Machine Learning|AWS|Azure|Google Cloud|Spark / PySpark|R|Agile / Scrum|Salesforce CRM|Business Analysis|Statistics|Communication,15
JOB03425,Data Scientist,Adobe,tech,"Sunnyvale, CA",Remote,2025-09-17,$114K,114,"As a Data Scientist at Adobe, you will analyze large datasets using Python and SQL. You'll build dashboards in Excel and work closely with cross-functional teams. Must be comfortable with Communication, Spark / PySpark, and have experience in AI Governance. A background in Statistics or similar analytical tools is beneficial.",Python|SQL|Excel|Communication,4
JOB03021,IT Consultant,PwC,consulting,"Santa Clara, CA",Hybrid,2025-09-17,$93K,93,"We are seeking a IT Consultant to join our Digital Transformation team in Santa Clara, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Excel is a strong plus. Knowledge of Machine Learning and modern AI Governance tools preferred. Familiarity with dbt and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Excel|Machine Learning|Salesforce CRM|Business Analysis|Data Visualization|ETL / Data Pipeline|Statistics|Communication,11
JOB01110,Business Analyst,Cisco,tech,"Palo Alto, CA",On-site,2025-09-17,$77K,77,"Join Cisco's data team as a Business Analyst. You will use Python, SQL, and Tableau to extract insights from complex datasets. This role requires strong Azure skills and familiarity with Business Analysis. Bonus: experience with Data Visualization and R.",Python|SQL|Tableau|Azure|Business Analysis|Communication,6
JOB01977,Data Analyst,Oracle,tech,"Palo Alto, CA",Hybrid,2025-09-17,$91K,91,"We are seeking a Data Analyst to join our Analytics team in Palo Alto, CA. The ideal candidate will leverage SQL and Power BI to deliver actionable insights. Responsibilities include designing Excel pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with RAG / Vector DBs is a strong plus. Knowledge of Snowflake and modern Azure tools preferred. Familiarity with LLM / GenAI and ability to communicate complex data clearly is essential.",SQL|Power BI|Excel|RAG / Vector DBs|Snowflake|R|Salesforce CRM|Business Analysis|Communication,9
JOB02807,Business Analyst,ServiceNow,tech,"Palo Alto, CA",Hybrid,2025-09-17,$88K,88,"As a Business Analyst at ServiceNow, you will analyze large datasets using Python and Tableau. You'll build dashboards in Power BI and work closely with cross-functional teams. Must be comfortable with Excel, Azure, and have experience in Communication. A background in Spark / PySpark or similar analytical tools is beneficial.",Python|Tableau|Power BI|Excel|Azure|Google Cloud|Business Analysis|Data Visualization|Communication,9
JOB01485,Business Analyst,Salesforce,tech,"Oakland, CA",Remote,2025-09-18,$98K,98,"We are seeking a Business Analyst to join our Operations team in Oakland, CA. The ideal candidate will leverage SQL and Tableau to deliver actionable insights. Responsibilities include designing Power BI pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Excel is a strong plus. Knowledge of LLM / GenAI and modern Spark / PySpark tools preferred. Familiarity with Snowflake and ability to communicate complex data clearly is essential.",SQL|Tableau|Power BI|Excel|LLM / GenAI|AWS|Azure|Agile / Scrum|Data Visualization|ETL / Data Pipeline|Communication,11
JOB00249,Data Analyst,Wells Fargo,finance,"Santa Clara, CA",On-site,2025-09-18,$89K,89,"Join Wells Fargo's data team as a Data Analyst. You will use Python, Tableau, and AWS to extract insights from complex datasets. This role requires strong Snowflake skills and familiarity with Agile / Scrum. Bonus: experience with dbt and Data Visualization.",Python|Tableau|AWS|Snowflake|Agile / Scrum|Business Analysis|Data Visualization|Statistics|Communication,9
JOB00243,Data Analyst,Adobe,tech,"Mountain View, CA",On-site,2025-09-18,$96K,96,"We are seeking a Data Analyst to join our Analytics team in Mountain View, CA. The ideal candidate will leverage Python and Tableau to deliver actionable insights. Responsibilities include designing Power BI pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with R is a strong plus. Knowledge of Agile / Scrum and modern Business Analysis tools preferred. Familiarity with Power BI and ability to communicate complex data clearly is essential.",Python|Tableau|Power BI|R|Agile / Scrum|Communication,6
JOB03387,Data Scientist,Deloitte,consulting,"Santa Clara, CA",Hybrid,2025-09-18,$101K,101,"Join Deloitte's data team as a Data Scientist. You will use Python, SQL, and Tableau to extract insights from complex datasets. This role requires strong Excel skills and familiarity with Spark / PySpark. Bonus: experience with Power BI and Machine Learning.",Python|SQL|Tableau|Excel|Spark / PySpark|Agile / Scrum|Salesforce CRM|Business Analysis|Data Visualization|Statistics|Communication,11
JOB01672,Data Analyst,Levi Strauss,retail,"Santa Clara, CA",On-site,2025-09-18,$90K,90,"Join Levi Strauss's data team as a Data Analyst. You will use AWS, Google Cloud, and Snowflake to extract insights from complex datasets. This role requires strong Agile / Scrum skills and familiarity with Data Visualization. Bonus: experience with LLM / GenAI and SQL.",AWS|Google Cloud|Snowflake|Agile / Scrum|Data Visualization,5
JOB01065,Business Analyst,PwC,consulting,"Mountain View, CA",On-site,2025-09-18,$71K,71,"We are seeking a Business Analyst to join our Technology team in Mountain View, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Excel pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with AWS is a strong plus. Knowledge of Azure and modern Python tools preferred. Familiarity with Salesforce CRM and ability to communicate complex data clearly is essential.",Python|SQL|Excel|AWS|Azure|Agile / Scrum|Business Analysis|ETL / Data Pipeline|Communication,9
JOB02044,Business Intelligence Analyst,Salesforce,tech,"Oakland, CA",On-site,2025-09-18,,86,"We are seeking a Business Intelligence Analyst to join our Operations team in Oakland, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Machine Learning pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with AWS is a strong plus. Knowledge of Google Cloud and modern R tools preferred. Familiarity with AI Governance and ability to communicate complex data clearly is essential.",Python|SQL|Machine Learning|AWS|Google Cloud|Agile / Scrum|Statistics|Communication,8
JOB03330,Data Analyst,Salesforce,tech,"San Francisco, CA",Hybrid,2025-09-18,,68,"Join Salesforce's data team as a Data Analyst. You will use Python, SQL, and Tableau to extract insights from complex datasets. This role requires strong Power BI skills and familiarity with ETL / Data Pipeline. Bonus: experience with Business Analysis and Prompt Engineering.",Python|SQL|Tableau|Power BI|ETL / Data Pipeline|Statistics|Communication,7
JOB02464,Machine Learning Engineer,Workday,tech,"Mountain View, CA",Hybrid,2025-09-18,$132K,132,"As a Machine Learning Engineer at Workday, you will analyze large datasets using SQL and Tableau. You'll build dashboards in Power BI and work closely with cross-functional teams. Must be comfortable with Excel, AWS, and have experience in Excel. A background in Agile / Scrum or similar analytical tools is beneficial.",SQL|Tableau|Power BI|Excel|AWS|Azure|Google Cloud|dbt|Agile / Scrum,9
JOB01310,Data Analyst,Salesforce,tech,"San Francisco, CA",Hybrid,2025-09-18,$80K,80,"Join Salesforce's data team as a Data Analyst. You will use Python, SQL, and Tableau to extract insights from complex datasets. This role requires strong Excel skills and familiarity with Azure. Bonus: experience with Statistics and RAG / Vector DBs.",Python|SQL|Tableau|Excel|Azure|R|Agile / Scrum|Salesforce CRM|Communication,9
JOB01955,Machine Learning Engineer,Workday,tech,"San Francisco, CA",Hybrid,2025-09-18,$122K,122,"We are seeking a Machine Learning Engineer to join our Technology team in San Francisco, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing AWS pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Agile / Scrum is a strong plus. Knowledge of Salesforce CRM and modern Excel tools preferred. Familiarity with Tableau and ability to communicate complex data clearly is essential.",Python|SQL|AWS|Agile / Scrum|Salesforce CRM|Business Analysis|Data Visualization|Statistics|Communication,9
JOB00900,Data Scientist,Accenture,consulting,"Oakland, CA",Hybrid,2025-09-18,,115,"We are seeking a Data Scientist to join our Analytics team in Oakland, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Power BI pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Snowflake is a strong plus. Knowledge of Agile / Scrum and modern Salesforce CRM tools preferred. Familiarity with RAG / Vector DBs and ability to communicate complex data clearly is essential.",Python|SQL|Power BI|Snowflake|Agile / Scrum|Business Analysis|ETL / Data Pipeline|Statistics|Communication,9
JOB00304,Data Analyst,Accenture,consulting,"Santa Clara, CA",Hybrid,2025-09-18,$88K,88,"As a Data Analyst at Accenture, you will analyze large datasets using Python and SQL. You'll build dashboards in LLM / GenAI and work closely with cross-functional teams. Must be comfortable with AWS, Azure, and have experience in dbt. A background in Statistics or similar analytical tools is beneficial.",Python|SQL|LLM / GenAI|AWS|Azure|Google Cloud|Business Analysis|Data Visualization|ETL / Data Pipeline|Communication,10
JOB00056,Business Intelligence Analyst,Oracle,tech,"Mountain View, CA",On-site,2025-09-18,$88K,88,"As a Business Intelligence Analyst at Oracle, you will analyze large datasets using Python and SQL. You'll build dashboards in Power BI and work closely with cross-functional teams. Must be comfortable with Excel, AWS, and have experience in Google Cloud. A background in ETL / Data Pipeline or similar analytical tools is beneficial.",Python|SQL|Power BI|Excel|AWS|R|Agile / Scrum|Data Visualization|Communication,9
JOB02548,Data Engineer,Salesforce,tech,"Santa Clara, CA",Hybrid,2025-09-18,$128K,128,"As a Data Engineer at Salesforce, you will analyze large datasets using Python and SQL. You'll build dashboards in Tableau and work closely with cross-functional teams. Must be comfortable with R, Business Analysis, and have experience in AI Governance. A background in Spark / PySpark or similar analytical tools is beneficial.",Python|SQL|Tableau|R|Business Analysis,5
JOB02535,Data Analyst,Salesforce,tech,"San Jose, CA",Hybrid,2025-09-18,$94K,94,"Join Salesforce's data team as a Data Analyst. You will use SQL, Power BI, and Excel to extract insights from complex datasets. This role requires strong Machine Learning skills and familiarity with Azure. Bonus: experience with Business Analysis and Communication.",SQL|Power BI|Excel|Machine Learning|Azure|Spark / PySpark|Salesforce CRM|Data Visualization,8
JOB01169,Data Analyst,Salesforce,tech,"San Francisco, CA",On-site,2025-09-18,$87K,87,"We are seeking a Data Analyst to join our Technology team in San Francisco, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Machine Learning is a strong plus. Knowledge of AWS and modern Spark / PySpark tools preferred. Familiarity with SQL and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Machine Learning|AWS|Google Cloud|R|ETL / Data Pipeline|Statistics|Communication,10
JOB01765,IT Consultant,Google,tech,"San Jose, CA",Hybrid,2025-09-18,$104K,104,"As a IT Consultant at Google, you will analyze large datasets using Python and Power BI. You'll build dashboards in Excel and work closely with cross-functional teams. Must be comfortable with Machine Learning, AWS, and have experience in Machine Learning. A background in Excel or similar analytical tools is beneficial.",Python|Power BI|Excel|Machine Learning|AWS|Google Cloud|R|Agile / Scrum|ETL / Data Pipeline|Statistics|Communication,11
JOB01589,Data Analyst,Palo Alto Networks,tech,"San Jose, CA",On-site,2025-09-18,$91K,91,"As a Data Analyst at Palo Alto Networks, you will analyze large datasets using Python and SQL. You'll build dashboards in Tableau and work closely with cross-functional teams. Must be comfortable with Machine Learning, AWS, and have experience in R. A background in Data Visualization or similar analytical tools is beneficial.",Python|SQL|Tableau|Machine Learning|AWS|Google Cloud|R|Business Analysis|Statistics|Communication,10
JOB01849,IT Consultant,Salesforce,tech,"Oakland, CA",Remote,2025-09-18,$90K,90,"We are seeking a IT Consultant to join our Digital Transformation team in Oakland, CA. The ideal candidate will leverage Python and Prompt Engineering to deliver actionable insights. Responsibilities include designing AWS pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with R is a strong plus. Knowledge of Salesforce CRM and modern Statistics tools preferred. Familiarity with R and ability to communicate complex data clearly is essential.",Python|Prompt Engineering|AWS|R|Salesforce CRM|Data Visualization|Statistics|Communication,8
JOB01362,Machine Learning Engineer,Accenture,consulting,"Mountain View, CA",Remote,2025-09-18,$125K,125,"Join Accenture's data team as a Machine Learning Engineer. You will use Python, SQL, and Tableau to extract insights from complex datasets. This role requires strong Power BI skills and familiarity with Machine Learning. Bonus: experience with Google Cloud and Communication.",Python|SQL|Tableau|Power BI|Machine Learning|AWS|Google Cloud|Data Visualization,8
JOB00655,Data Analyst,Chevron,energy,"Oakland, CA",Hybrid,2025-09-18,$76K,76,"Join Chevron's data team as a Data Analyst. You will use Python, SQL, and Tableau to extract insights from complex datasets. This role requires strong AWS skills and familiarity with Azure. Bonus: experience with AWS and Spark / PySpark.",Python|SQL|Tableau|AWS|Azure|Google Cloud|R|Data Visualization|Communication,9
JOB00709,Data Scientist,Workday,tech,"Santa Clara, CA",On-site,2025-09-18,$114K,114,"We are seeking a Data Scientist to join our Technology team in Santa Clara, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Spark / PySpark is a strong plus. Knowledge of Agile / Scrum and modern Tableau tools preferred. Familiarity with SQL and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Spark / PySpark|Agile / Scrum|Salesforce CRM|Business Analysis|Communication,8
JOB01784,AI/ML Analyst,ServiceNow,tech,"Fremont, CA",On-site,2025-09-18,$94K,94,"Join ServiceNow's data team as a AI/ML Analyst. You will use Python, SQL, and AWS to extract insights from complex datasets. This role requires strong Azure skills and familiarity with Data Visualization. Bonus: experience with Python and Excel.",Python|SQL|AWS|Azure|Data Visualization,5
JOB03540,Data Analyst,KPMG,consulting,"San Francisco, CA",On-site,2025-09-19,,94,"Join KPMG's data team as a Data Analyst. You will use Python, Power BI, and Machine Learning to extract insights from complex datasets. This role requires strong Azure skills and familiarity with ETL / Data Pipeline. Bonus: experience with R and Communication.",Python|Power BI|Machine Learning|Azure|ETL / Data Pipeline|Communication,6
JOB03087,Business Analyst,Accenture,consulting,"Palo Alto, CA",Hybrid,2025-09-19,$76K,76,"As a Business Analyst at Accenture, you will analyze large datasets using SQL and Tableau. You'll build dashboards in Business Analysis and work closely with cross-functional teams. Must be comfortable with Statistics, Communication, and have experience in Google Cloud. A background in Tableau or similar analytical tools is beneficial.",SQL|Tableau|Business Analysis|Statistics|Communication,5
JOB00020,Business Analyst,Splunk,tech,"Palo Alto, CA",Hybrid,2025-09-19,,78,"We are seeking a Business Analyst to join our Analytics team in Palo Alto, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Power BI is a strong plus. Knowledge of Excel and modern Agile / Scrum tools preferred. Familiarity with Snowflake and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Power BI|Excel|AI Governance|AWS|R|Agile / Scrum|ETL / Data Pipeline,10
JOB00441,Machine Learning Engineer,ServiceNow,tech,"San Jose, CA",Hybrid,2025-09-19,$142K,142,"As a Machine Learning Engineer at ServiceNow, you will analyze large datasets using Machine Learning and R. You'll build dashboards in Business Analysis and work closely with cross-functional teams. Must be comfortable with Data Visualization, Communication, and have experience in Tableau. A background in Agile / Scrum or similar analytical tools is beneficial.",Machine Learning|R|Business Analysis|Data Visualization|Communication,5
JOB00080,IT Consultant,PwC,consulting,"Fremont, CA",On-site,2025-09-19,,91,"As a IT Consultant at PwC, you will analyze large datasets using Tableau and AWS. You'll build dashboards in Azure and work closely with cross-functional teams. Must be comfortable with Snowflake, Business Analysis, and have experience in R. A background in LLM / GenAI or similar analytical tools is beneficial.",Tableau|AWS|Azure|Snowflake|Business Analysis|ETL / Data Pipeline|Communication,7
JOB02812,Data Scientist,Deloitte,consulting,"San Francisco, CA",On-site,2025-09-19,$108K,108,"As a Data Scientist at Deloitte, you will analyze large datasets using Python and LLM / GenAI. You'll build dashboards in AWS and work closely with cross-functional teams. Must be comfortable with Google Cloud, Spark / PySpark, and have experience in Snowflake. A background in Spark / PySpark or similar analytical tools is beneficial.",Python|LLM / GenAI|AWS|Google Cloud|Spark / PySpark|R|Salesforce CRM|Communication,8
JOB03839,Data Engineer,Oracle,tech,"Sunnyvale, CA",Hybrid,2025-09-19,$113K,113,"As a Data Engineer at Oracle, you will analyze large datasets using SQL and Tableau. You'll build dashboards in Azure and work closely with cross-functional teams. Must be comfortable with R, Communication, and have experience in Communication. A background in Python or similar analytical tools is beneficial.",SQL|Tableau|Azure|R|Communication,5
JOB02059,Machine Learning Engineer,Levi Strauss,retail,"Santa Clara, CA",On-site,2025-09-19,$114K,114,"We are seeking a Machine Learning Engineer to join our Technology team in Santa Clara, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Power BI is a strong plus. Knowledge of Excel and modern Power BI tools preferred. Familiarity with Prompt Engineering and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Power BI|Excel|Google Cloud|R|Agile / Scrum|Business Analysis|Data Visualization|Statistics|Communication,12
JOB01715,Machine Learning Engineer,Google,tech,"San Francisco, CA",Remote,2025-09-19,$142K,142,"As a Machine Learning Engineer at Google, you will analyze large datasets using SQL and Tableau. You'll build dashboards in Power BI and work closely with cross-functional teams. Must be comfortable with Excel, AWS, and have experience in Snowflake. A background in Communication or similar analytical tools is beneficial.",SQL|Tableau|Power BI|Excel|AWS|Salesforce CRM|Data Visualization|Communication,8
JOB02653,Machine Learning Engineer,Oracle,tech,"Santa Clara, CA",On-site,2025-09-19,$118K,118,"Join Oracle's data team as a Machine Learning Engineer. You will use Python, Tableau, and Power BI to extract insights from complex datasets. This role requires strong Google Cloud skills and familiarity with Snowflake. Bonus: experience with Data Visualization and Snowflake.",Python|Tableau|Power BI|Google Cloud|Snowflake|R|Business Analysis|Data Visualization|Statistics,9
JOB00904,Data Engineer,ServiceNow,tech,"San Jose, CA",On-site,2025-09-19,$112K,112,"As a Data Engineer at ServiceNow, you will analyze large datasets using Python and Machine Learning. You'll build dashboards in Agile / Scrum and work closely with cross-functional teams. Must be comfortable with Salesforce CRM, Data Visualization, and have experience in Snowflake. A background in Machine Learning or similar analytical tools is beneficial.",Python|Machine Learning|Agile / Scrum|Salesforce CRM|Data Visualization|ETL / Data Pipeline|Communication,7
JOB01361,Data Scientist,Wells Fargo,finance,"Santa Clara, CA",Hybrid,2025-09-19,$109K,109,"We are seeking a Data Scientist to join our Digital Transformation team in Santa Clara, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Excel is a strong plus. Knowledge of Machine Learning and modern LLM / GenAI tools preferred. Familiarity with Statistics and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Excel|Machine Learning|Business Analysis|Statistics|Communication,8
JOB03174,Data Scientist,Meta,tech,"San Jose, CA",On-site,2025-09-19,$115K,115,"We are seeking a Data Scientist to join our Operations team in San Jose, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Excel pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Machine Learning is a strong plus. Knowledge of R and modern Communication tools preferred. Familiarity with Statistics and ability to communicate complex data clearly is essential.",Python|SQL|Excel|Machine Learning|R|Salesforce CRM|Communication,7
JOB02691,Data Analyst,Levi Strauss,retail,"Santa Clara, CA",On-site,2025-09-19,,76,"We are seeking a Data Analyst to join our Digital Transformation team in Santa Clara, CA. The ideal candidate will leverage SQL and RAG / Vector DBs to deliver actionable insights. Responsibilities include designing Azure pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Snowflake is a strong plus. Knowledge of Spark / PySpark and modern Snowflake tools preferred. Familiarity with LLM / GenAI and ability to communicate complex data clearly is essential.",SQL|RAG / Vector DBs|Azure|Snowflake|Spark / PySpark|Data Visualization|Statistics|Communication,8
JOB00115,Data Analyst,Kaiser Permanente,healthcare,"Palo Alto, CA",On-site,2025-09-19,,74,"We are seeking a Data Analyst to join our Strategy team in Palo Alto, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Power BI is a strong plus. Knowledge of AWS and modern Power BI tools preferred. Familiarity with LLM / GenAI and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Power BI|AWS|Agile / Scrum|Salesforce CRM,7
JOB02859,Business Intelligence Analyst,PwC,consulting,"Oakland, CA",On-site,2025-09-19,,72,"As a Business Intelligence Analyst at PwC, you will analyze large datasets using Python and SQL. You'll build dashboards in Excel and work closely with cross-functional teams. Must be comfortable with Machine Learning, AWS, and have experience in SQL. A background in AI Governance or similar analytical tools is beneficial.",Python|SQL|Excel|Machine Learning|AWS|Azure|R|Business Analysis|Data Visualization|Statistics|Communication,11
